French,English
partie,part
histoire,history
police,police
aide,help
demande,request
genre,kind
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
chambre,bedroom
droit,law
aujourd'hui,today
mari,husband
cause,cause
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
aura,will have
jouer,to play
bureau,office
